Unit,Date,Hour Ending,MWH
WEBBER_S_WSP1,20190119,1200,23.54475
WEBBER_S_WSP1,20190119,1300,22.55855
WEBBER_S_WSP1,20190119,1400,22.46915
WEBBER_S_WSP1,20190119,1500,23.46865
WEBBER_S_WSP1,20190119,1600,23.772175
WEBBER_S_WSP1,20190119,1700,18.61805
WEBBER_S_WSP1,20190119,1800,3.3895
WEBBER_S_WSP1,20190119,1900,0
WEBBER_S_WSP1,20190119,2000,0
WEBBER_S_WSP1,20190119,2100,0
WEBBER_S_WSP1,20190119,2200,0
WEBBER_S_WSP1,20190119,2300,0
WEBBER_S_WSP1,20190119,2400,0
WEBBER_S_WSP1,20190120,100,0
WEBBER_S_WSP1,20190120,200,0
WEBBER_S_WSP1,20190120,300,0
WEBBER_S_WSP1,20190120,400,0
WEBBER_S_WSP1,20190120,500,0
WEBBER_S_WSP1,20190120,600,0
WEBBER_S_WSP1,20190120,700,0
WEBBER_S_WSP1,20190120,800,0.9664
WEBBER_S_WSP1,20190120,900,14.586475
WEBBER_S_WSP1,20190120,1000,21.497475
WEBBER_S_WSP1,20190120,1100,21.69185
WEBBER_S_WSP1,20190120,1200,23.246525
WEBBER_S_WSP1,20190120,1300,21.627075
WEBBER_S_WSP1,20190120,1400,20.47265
WEBBER_S_WSP1,20190120,1500,22.668325
WEBBER_S_WSP1,20190120,1600,22.36895
WEBBER_S_WSP1,20190120,1700,18.417725
WEBBER_S_WSP1,20190120,1800,1.778225
WEBBER_S_WSP1,20190120,1900,0
WEBBER_S_WSP1,20190120,2000,0
WEBBER_S_WSP1,20190120,2100,0
WEBBER_S_WSP1,20190120,2200,0
WEBBER_S_WSP1,20190120,2300,0
WEBBER_S_WSP1,20190120,2400,0
WEBBER_S_WSP1,20190121,100,0
WEBBER_S_WSP1,20190121,200,0
WEBBER_S_WSP1,20190121,300,0
WEBBER_S_WSP1,20190121,400,0
WEBBER_S_WSP1,20190121,500,0
WEBBER_S_WSP1,20190121,600,0
WEBBER_S_WSP1,20190121,700,0
WEBBER_S_WSP1,20190121,800,0.877625
WEBBER_S_WSP1,20190121,900,8.95775
WEBBER_S_WSP1,20190121,1000,20.950925
WEBBER_S_WSP1,20190121,1100,22.5733
WEBBER_S_WSP1,20190121,1200,20.094475
